,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250045.909405,1.00003719335,-2.69612029008e-05,5.33221195251e-05,-1.10001048741,-9.02486948929e-05,250014.31759,0.999981173286,-1.54560376147e-05,-6.81856746378e-05,1.10003729642,-5.08773291565e-05
$\sigma$,548.245156442,0.00214740142705,0.00200983314023,0.00192337735834,0.0026151270976,0.00255662864654,571.089273608,0.00219525336945,0.00198513967825,0.00194385828574,0.00263226104974,0.00256830394456
$\sigma_{\mu}$,17.3370341051,6.79067956017e-05,6.35565044003e-05,6.08225325236e-05,8.26975799926e-05,8.08476965429e-05,18.0594285189,6.94200068863e-05,6.27756285683e-05,6.14701963151e-05,8.32394031331e-05,8.1216901884e-05
