,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,19.2703480007,7.00396713906e-05,0.000112047979322,4.5901210142e-05,0.000102186406674,1.29896838243e-05,-5.9291816411,-5.93418896887e-05,6.92749469225e-05,-6.63080990908e-05,7.10692174284e-05,0.000191592178095
$\sigma$,564.88534852,0.00221691412715,0.00190942913075,0.00201844029511,0.0025021102245,0.00256625778578,551.839338195,0.00220863411412,0.00202922657368,0.00200147596157,0.00248323603145,0.00254002503
$\sigma_{\mu}$,17.8632431818,7.01049801881e-05,6.03814508384e-05,6.3828686536e-05,7.91236726622e-05,8.1152196662e-05,17.4506921118,6.98431431858e-05,6.41697786137e-05,6.32922272064e-05,7.85268182718e-05,8.03226440864e-05
