,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249817.121923,0.999390736133,-0.000395523851039,-0.000270262139025,-1.09954974983,-0.00213136408872,250111.433656,0.999878029875,0.000152526468696,-0.000299580027731,1.09648200075,-0.00161134296498
$\sigma$,3366.52471206,0.00612644918025,0.00631767155592,0.00861993328001,0.060497655468,0.0582289503472,3411.71635618,0.00618584756287,0.00613021290404,0.00867577614718,0.062223787705,0.0604564181085
$\sigma_{\mu}$,106.458858894,0.000193735333789,0.000199782316256,0.000272586224435,0.00191310384379,0.00184136108858,107.88794416,0.000195613675573,0.000193854353185,0.000274352130949,0.00196768893791,0.00191179980398
