,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-799.533034867,-0.0172340584968,-0.0177742500466,-7.84942479583e-05,-0.0100692749676,0.000137923133761,-765.501739274,-0.0171354798594,-0.0176192756637,-2.71799633702e-05,0.0101427474175,-6.38005482847e-07
$\sigma$,671.916871366,0.00262101819951,0.00236909273274,0.00248786578443,0.00179261292129,0.00225444499156,668.639784436,0.0025315689817,0.0024203560542,0.00240734662763,0.00178954299455,0.00230037148949
$\sigma_{\mu}$,21.2478771181,8.28838729922e-05,7.49172902362e-05,7.8673223916e-05,5.66873979432e-05,7.12918103289e-05,21.1442465302,8.005524036e-05,7.65383787984e-05,7.61269846082e-05,5.65903183358e-05,7.2744133713e-05
