,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249999.966099,1.00012639952,-1.023876888e-05,4.72995717446e-05,-0.798181129784,0.000532091778017,249968.187716,0.999843372355,-7.84668958092e-05,-0.000153065878369,0.798729931826,-0.00117605066187
$\sigma$,536.678467353,0.00213169726353,0.00197905856107,0.00187124256514,0.0569970463902,0.0582730647643,554.203260736,0.00215565069095,0.00196248913978,0.00196832448673,0.0577766125224,0.0579458753697
$\sigma_{\mu}$,16.97126328,6.74101863472e-05,6.25833267584e-05,5.91738856051e-05,0.00180240486495,0.00184275610894,17.5254459062,6.81676602312e-05,6.20593556505e-05,6.22438855236e-05,0.0018270569106,0.0018324094718
