,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-646.586534489,-0.0153246217124,-0.014791445011,0.000506711614103,-0.00909949642356,0.000216795784039,-837.593636302,-0.0154574095577,-0.0150020914868,0.000193932007916,0.0077697616659,-8.9841204931e-05
$\sigma$,5262.0778963,0.0101401877144,0.0104537684836,0.0139166172286,0.0457855230827,0.018619644786,5264.70337945,0.00999333930901,0.0101071549936,0.0138694050251,0.0457504161794,0.0188647162803
$\sigma_{\mu}$,166.401513775,0.000320660890793,0.000330577185403,0.000440082077671,0.00144786536804,0.00058880486747,166.484538843,0.000316017136474,0.000319616304442,0.000438589096706,0.00144675519028,0.000596554708586
