,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-100.622914632,-0.000270122247176,-0.000222265634723,2.64129138127e-05,-0.000288493299114,-6.45195413881e-05,88.3278021593,5.28774488382e-05,0.00010783371454,1.00438566146e-05,-0.000269066621668,-7.92809186517e-05
$\sigma$,1927.59999092,0.00391391882495,0.00398250261467,0.00276040524975,0.0086275979979,0.003146737398,1961.02652878,0.00390698246906,0.00387504259824,0.00272326279027,0.0085605800165,0.00311473529447
$\sigma_{\mu}$,60.9560638902,0.000123768980639,0.000125937790499,8.7291678543e-05,0.000272828604097,9.95085737611e-05,62.0131038296,0.000123549633806,0.000122539606406,8.61171308444e-05,0.000270709309443,9.84965783904e-05
