,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249610.225839,0.996267334656,-0.00291716617342,-0.000333693989953,-0.905904985622,-0.00154556306029,250283.345978,0.996918659501,-0.00222453421527,-0.000295020121525,0.899360411786,0.000524478795082
$\sigma$,5344.49458544,0.00738980533466,0.0072956213677,0.0108923743373,0.0652505888226,0.0612216271717,5367.67515098,0.00751133705801,0.00737333531611,0.0108335711515,0.0637701791362,0.0637192395981
$\sigma_{\mu}$,169.007758324,0.000233686163228,0.000230707804681,0.000344447120329,0.00206340479346,0.00193599783924,169.74079217,0.000237529333765,0.000233165335511,0.000342587600322,0.00201659012867,0.00201497927904
