,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-81.0390076146,-0.000102649430991,-0.000162037069746,0.000120992769496,-0.000267148356427,0.000108148424637,81.8154297206,2.54291151582e-05,0.000131205207818,0.000157158050645,-0.000402852561144,-8.79135890768e-05
$\sigma$,8405.85315179,0.00599001035316,0.00598558235836,0.00322156233563,0.0254315569073,0.00496109787662,8392.65114806,0.00611322395739,0.00606876279138,0.00328773570063,0.0256611089952,0.00509747950947
$\sigma_{\mu}$,265.816416365,0.00018942075924,0.000189280733749,0.000101874746048,0.000804216442711,0.000156883689851,265.398932351,0.000193317115521,0.00019191113,0.000103967331586,0.000811475517105,0.00016119645576
