,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249841.048672,0.999657650498,0.000205546018206,3.95271963144e-06,-1.09939111085,-0.00192341742655,250138.437768,1.00007481637,0.000671347492323,5.2263317776e-05,1.09642591957,-0.00188384946969
$\sigma$,4407.31065279,0.00740214063889,0.00725396017075,0.00822659268146,0.0616614420228,0.0591204352364,4383.58140421,0.00723543195664,0.00708138692532,0.00823227876755,0.0636654149226,0.0616121812459
$\sigma_{\mu}$,139.371400188,0.000234076239798,0.000229390361957,0.000260147702559,0.00194990600603,0.00186955231608,138.62101546,0.000228804448381,0.00022393311677,0.000260327512389,0.00201327719335,0.00194834824348
