,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249992.218136,0.999906480148,6.46002335547e-05,1.70861370662e-05,-1.10006850528,-0.000116341296946,249985.319094,0.999982736797,1.40129525528e-05,1.57802594819e-05,1.10002778435,4.05354609329e-05
$\sigma$,559.693619809,0.0020954594234,0.0019336029099,0.00195249683982,0.00255530478706,0.0025665937454,545.929049176,0.00225761297853,0.0019147143147,0.001979357798,0.00260111990328,0.00249674191281
$\sigma_{\mu}$,17.6990663046,6.6264245224e-05,6.11458928563e-05,6.17433713813e-05,8.08058324304e-05,8.1162820638e-05,17.2637923625,7.13919908732e-05,6.05485830297e-05,6.25927894608e-05,8.22546336157e-05,7.89539117407e-05
