,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250029.311818,1.00001929583,2.44904924711e-05,4.89147567606e-05,-1.19844947985,-7.00868381104e-05,249983.500676,1.00005721666,1.11516289218e-06,-4.16508090223e-05,1.19993271462,0.000285644255836
$\sigma$,536.772902494,0.00219112214593,0.0019702233963,0.00201657268605,0.0574569411922,0.0589336558396,548.537203102,0.00225668559096,0.00190090367759,0.00193119479223,0.0595262858726,0.0582825469417
$\sigma_{\mu}$,16.9742495814,6.92893661278e-05,6.23039343166e-05,6.3769627552e-05,0.00181694801554,0.00186364583294,17.3462694314,7.13626643032e-05,6.01118523377e-05,6.10697414889e-05,0.00188238644008,0.00184305596171
