,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-579.990761675,-0.00895419894272,-0.00819091735564,-0.000280776132514,-0.00387406172536,-0.000158445573288,47.462654732,-0.00818714227811,-0.00769107809292,-0.000267620185254,0.00196956614556,0.000155686477865
$\sigma$,4942.6395334,0.00826713319161,0.00838808330308,0.0128711023756,0.0176927228584,0.0144730298702,4958.46603471,0.0085350307847,0.00862605095032,0.0129429385736,0.0178962494363,0.0141960220759
$\sigma_{\mu}$,156.299985787,0.000261429706055,0.00026525448441,0.00040701999504,0.000559493022425,0.000457677390335,156.800463703,0.000269901371793,0.000272779682157,0.000409291655083,0.000565929097932,0.00044891763474
