,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249420.009238,0.991045801057,-0.00819091735564,-0.000280776132514,-0.907674568745,-0.00141577538059,250047.462655,0.991812857722,-0.00769107809292,-0.000267620185254,0.902507348325,0.000177017602831
$\sigma$,4942.63953339,0.00826713319183,0.00838808330308,0.0128711023756,0.0643732902703,0.0621111566906,4958.46603471,0.00853503078485,0.00862605095032,0.0129429385736,0.061538249828,0.0644131898374
$\sigma_{\mu}$,156.299985787,0.000261429706062,0.00026525448441,0.00040701999504,0.00203566217733,0.0019641272325,156.800463703,0.000269901371798,0.000272779682157,0.000409291655083,0.00194601032677,0.00203692391243
