,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-16.1474915596,-0.000122732850053,0.000289023827383,0.000340793153813,0.000163766218465,0.000281855254881,11.2704869863,-2.88970018851e-05,0.000344308638135,0.000263510677222,-0.00026826973796,-0.000192405159643
$\sigma$,3814.26635278,0.00690374142819,0.00695728286176,0.00643845943965,0.0142030386797,0.00560999513986,3762.11864628,0.00697370164977,0.0071326106934,0.00648015882704,0.0140315648822,0.00559725528522
$\sigma_{\mu}$,120.617692773,0.000218315472899,0.000220008601692,0.000203601964519,0.000449139519235,0.000177403623044,118.9686375,0.000220527809358,0.000225552954544,0.000204920614931,0.000443717041643,0.000177000753467
