,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,249975.176343,0.999954965534,5.28102371595e-06,-0.000113234086025,-0.899944779825,7.0393499886e-06,250017.759954,1.00006186345,-7.42518950317e-05,-6.22143318053e-07,0.900094160394,-5.58391173359e-05
$\sigma$,555.266694889,0.00212111454571,0.00199594507786,0.0019569836277,0.00252996796206,0.00255476395454,535.419224541,0.00209256139621,0.00187626855781,0.00196215785398,0.00253159613983,0.00255851025012
$\sigma_{\mu}$,17.5590746468,6.70755314255e-05,6.31173253062e-05,6.18852560721e-05,8.00046116737e-05,8.07887298045e-05,16.9314425259,6.61726015578e-05,5.93328214483e-05,6.20488794738e-05,8.00560991755e-05,8.09071980725e-05
