,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250042.840522,0.995546523184,-0.00451177921342,-7.83283671924e-05,-1.00119348845,4.03688165944e-05,249847.352886,0.995303359401,-0.0047622471612,-0.000116730748961,1.00119046023,2.55036824929e-05
$\sigma$,4062.80737927,0.00554197549888,0.00556606393913,0.00328589811594,0.00437877546941,0.00341845683866,4088.80637424,0.00544311234388,0.00548483765889,0.0032857221577,0.00450529413616,0.00339250389001
$\sigma_{\mu}$,128.47725013,0.000175252653133,0.000176014396498,0.000103909222056,0.000138469038458,0.000108101096931,129.29941054,0.000172126325668,0.000173445795984,0.000103903657768,0.000142469909993,0.000107280392634
