,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,7.56684194322,-0.00925428180202,-0.00966028295664,7.06002273525e-05,-0.00369152040242,4.35429893041e-05,-612.938075056,-0.00979250007875,-0.0102105278387,9.26306546222e-05,0.00424797677731,4.18368138305e-06
$\sigma$,6010.17793293,0.00662742520482,0.00649176627731,0.00379684132737,0.0187437012085,0.00318098285889,6001.78482489,0.00654805875782,0.00659844536562,0.00388642857325,0.0186619734592,0.00330647700805
$\sigma_{\mu}$,190.05851411,0.000209577586696,0.000205287674738,0.000120066665088,0.000592727876005,0.00010059151032,189.793100729,0.000207067799273,0.000208661163716,0.00012289966255,0.000590143417646,0.000104559983764
