,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-95.1228949446,-0.000206415297183,0.00031845348114,0.000111206630129,-5.56738204269e-05,0.000295458267696,104.552154214,9.03241053622e-05,0.00056291210146,0.0002023283542,-0.000863692231312,-0.000104145309667
$\sigma$,4278.06281946,0.00718306861511,0.00722367705101,0.00825964104297,0.0175212807248,0.00853546508722,4307.49184306,0.0071002534561,0.00714893033498,0.0082586305506,0.0174085138374,0.00818251257015
$\sigma_{\mu}$,135.284224828,0.00022714857413,0.000228432725627,0.000261192783512,0.000554071546137,0.000269915105645,136.214852267,0.000224529728857,0.000226069026924,0.000261160828937,0.000550505544047,0.000258753767046
