,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,23.8702366737,4.88436710735e-05,9.45561116174e-05,5.90904795897e-05,0.000264859807488,0.000137452988094,-33.4730871762,4.27727827153e-05,-6.47608647052e-05,0.000269060120451,0.000163611128709,-0.000199763460574
$\sigma$,4457.30823437,0.00554806233092,0.00555272756144,0.00349213836048,0.016703045732,0.00425296684331,4432.67457453,0.00556452989792,0.0053570325618,0.00339660303431,0.0169424499326,0.00426244650137
$\sigma_{\mu}$,140.95246254,0.000175445135663,0.000175592663205,0.000110431111236,0.00052819668375,0.00013449062038,140.173477818,0.000175965885855,0.00016940424395,0.000107410018958,0.000535767309302,0.000134790393489
