,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,1.42284786454,-0.00010511591585,2.41455611254e-05,4.75196303376e-05,1.21648556476e-05,-4.16592188494e-05,5.88253459633,-7.93702026753e-06,-1.56501715884e-05,-2.08798469955e-05,4.18032394253e-05,-0.000106271771692
$\sigma$,564.24440375,0.00165053143248,0.00154891070222,0.00155627791246,0.0022767455259,0.00229285145331,560.516480135,0.00171161184,0.00153778026573,0.0015487056776,0.0022695193243,0.00227674809341
$\sigma_{\mu}$,17.8429747285,5.21943867634e-05,4.89808571123e-05,4.92138287558e-05,7.19970151443e-05,7.2506329289e-05,17.7250874329,5.41259188451e-05,4.86288818057e-05,4.89743736646e-05,7.17685025856e-05,7.19970963362e-05
