,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250001.422848,0.999894884084,2.41455611254e-05,4.75196303376e-05,-0.698944755689,0.00159924664958,250005.882535,0.99999206298,-1.56501715884e-05,-2.08798469955e-05,0.700230158598,-0.000897989581779
$\sigma$,564.244403827,0.0016505314327,0.00154891070222,0.00155627791246,0.0588619898555,0.058810257622,560.516480293,0.0017116118396,0.00153778026573,0.0015487056776,0.0591520432883,0.057380932288
$\sigma_{\mu}$,17.842974731,5.21943867703e-05,4.89808571123e-05,4.92138287558e-05,0.00186137955553,0.00185974363867,17.7250874379,5.41259188323e-05,4.86288818057e-05,4.89743736646e-05,0.00187055185044,0.00181454440294
