,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,-11.4991219646,-2.10825931159e-05,3.72843160732e-05,2.1928067502e-05,-8.61527232955e-05,0.00012363537072,21.5912976541,0.000128857753914,0.000130313007532,-3.35948283173e-05,-5.46015290436e-05,9.34441258548e-05
$\sigma$,538.485574946,0.00221893845958,0.00194848262475,0.00201222171001,0.00256389592931,0.00257011892147,556.757583972,0.00211472981528,0.00195021319403,0.00192084384805,0.00255455602929,0.0025966763781
$\sigma_{\mu}$,17.0284090397,7.01689952003e-05,6.16164307548e-05,6.36320376087e-05,8.10775082024e-05,8.12742964933e-05,17.6062206992,6.68736285215e-05,6.16711561604e-05,6.07424158937e-05,8.07821546309e-05,8.21141170114e-05
