,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250001.861892,0.999924251865,-1.02133375932e-05,-2.54734208852e-05,-0.999732161672,-0.00193625399918,250004.90734,1.00002408679,4.62019344122e-05,-9.94821691941e-06,1.00057101902,7.39367621744e-05
$\sigma$,548.264518112,0.00168156750115,0.00156357689666,0.00157401013842,0.0574402969947,0.0591211190555,556.257143206,0.00174679667505,0.00155428193877,0.00155647455801,0.0576506214207,0.0578477090477
$\sigma_{\mu}$,17.3376463749,5.31758334294e-05,4.94446429027e-05,4.9774570976e-05,0.0018164216798,0.00186957394033,17.5903953727,5.52385610237e-05,4.91507105257e-05,4.92200472342e-05,0.00182307272214,0.00182930518014
