,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250243.470258,0.996429982412,-0.00289033006036,0.000199069430801,-0.998726086454,-0.00158855051805,249629.752863,0.995714633289,-0.00371016758477,0.000104700547263,1.00253177288,-0.000509876900723
$\sigma$,4617.44329601,0.00777496847486,0.00781417834416,0.0116719393385,0.0636506436916,0.0627589448611,4568.54175937,0.00807037584968,0.00815516290058,0.0116726483824,0.064576983445,0.060979046448
$\sigma_{\mu}$,146.016377821,0.000245866091166,0.000247106016103,0.000369099130211,0.00201281008601,0.0019846120931,144.469975452,0.000255207692586,0.000257888894556,0.000369121552148,0.00204210352109,0.00192832676321
