,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250023.870237,1.00004884367,9.45561116174e-05,5.90904795897e-05,-0.999402042098,-0.00170498204109,249966.526913,1.00004277278,-6.47608647052e-05,0.000269060120451,1.00084716341,-0.000156865044707
$\sigma$,4457.30823436,0.00554806233087,0.00555272756144,0.00349213836048,0.0598337910428,0.0593360323316,4432.67457454,0.00556452989784,0.0053570325618,0.00339660303431,0.0598614189205,0.0580008931055
$\sigma_{\mu}$,140.95246254,0.000175445135661,0.000175592663205,0.000110431111236,0.00189211060738,0.00187637009485,140.173477819,0.000175965885853,0.00016940424395,0.000107410018958,0.00189298427758,0.00183414928537
