,flux_a,hlr_a,e1_a,e2_a,x0_a,y0_a,flux_b,hlr_b,e1_b,e2_b,x0_b,y0_b
$\bar\mu$,250001.227592,0.999999607633,8.03862475307e-05,-2.50524045051e-05,-0.999637305346,-0.0018283684654,249988.506844,0.999953295621,4.25064746703e-05,6.53649699132e-06,1.00065380492,6.12156898157e-05
$\sigma$,549.388135715,0.00172395614411,0.0015614925456,0.00153138701305,0.0574337604928,0.0590979452442,560.599897487,0.00167572295493,0.00156884115642,0.00155327526156,0.0576662968886,0.0577359439328
$\sigma_{\mu}$,17.3731782833,5.45162800162e-05,4.93787299346e-05,4.84267094043e-05,0.00181621497746,0.00186884112008,17.7277253212,5.29910126502e-05,4.9611113413e-05,4.91188765972e-05,0.00182356842395,0.00182577085688
